"Finance Cost","Custo do Parcelamento"
"external_operations.id can't be null.","external_operations.id can't be null."
"external_operations.id must be numeric.","external_operations.id must be numeric."
"Review the card number.","Review the card number."
"Review the due date.","Review the due date."
"Review the data.","Review the data."
"Review the card's security code.","Review the card's security code."
"We are unable to process your payment.","We are unable to process your payment."
"You must authorize your card issuer to pay the amount to Mercado Pago.","You must authorize your card issuer to pay the amount to Mercado Pago."
"Call your card center to activate your card. The phone number is on the back of your card.","Call your card center to activate your card. The phone number is on the back of your card."
"We were unable to process your payment.","We were unable to process your payment."
"You have already made a payment with this amount. If you need to pay again, use another card or other form of payment. Your payment has been declined.","You have already made a payment with this amount. If you need to pay again, use another card or other form of payment. Your payment has been declined."
"Choose another payment method. We recommend cash payment methods.","Choose another payment method. We recommend cash payment methods."
"The card does not have enough balance.","The card does not have enough balance."
"The card does not allow payment in installments.","The card does not allow payment in installments."
"You have reached the allowed attempt limit. Choose another card or payment method.","You have reached the allowed attempt limit. Choose another card or payment method."
"The card does not process the payment.","The card does not process the payment."
"The payment was rejected because the user does not have the credit function enabled on his multiple card (debit and credit).","The payment was rejected because the user does not have the credit function enabled on his multiple card (debit and credit)."
"mp_payment_id","Identificación de pago (Mercado Pago)"
"card_installments","Cuotas"
"card_type","Bandeira"
"card_number","Numero de tarjeta"
"card_holder_name","Nombre impreso en tarjeta"
"card_exp_year","Año de vencimiento"
"card_exp_month","Mês de vencimiento"
"payer_document_identification","Documento de identificación"
"payer_first_name","Nombre"
"payer_last_name","Apellido"
"init_point","Link"
"date_of_expiration","Fecha de expiración"
"barcode","Código de barras"
"external_resource_url","Enlace de pago"
"verification_code","Código de verificación"
"financial_institution","Institución"
"payer_document_type","Tipo de documento"
"mp_status","Status (Mercado Pago)"
"mp_status_detail","Status Detallado (Mercado Pago)"
"Your payment was declined due to an error in the store setup. Please get in touch with the store support and try again later.","Tu pago fue rechazado por un error en la configuración de la tienda. Contáctate con el soporte de la tienda e inténtalo más tarde."
"It was not possible to complete the payment due to a communication error. Please try again later.","No pudimos completar el pago por una falla de comunicación. Inténtalo más tarde."
"Your payment was declined because some of your card details are incorrect. Please check the information to complete the purchase.","Tu pago fue rechazado porque algún dato de la tarjeta es incorrecto. Verifica la información para finalizar la compra."
"Your payment was declined. We recommend that you use the device and payment method you usually use for online shopping.","Tu pago fue rechazado. Recomendamos que utilices el dispositivo y el medio de pago que sueles usar para compras online."
"It was not possible to complete the payment. Please use another method to complete the purchase.","No pudimos completar el pago. Usa otro medio para finalizar tu compra."
"It was not possible to complete the payment due to a communication error. Please try again later or use another payment method.","No pudimos completar el pago por una falla de comunicación. Inténtalo más tarde o usa otro medio de pago."
"Offline Payments Methods","Medios de Pago OFF"
"Exclude Payment Methods","Excluir métodos de pago"
"Select the payment methods you do NOT want to accept.","Seleccione los métodos de pago que NO desea aceptar."
"Payment Title","Título del metodo de pago"
"Accept all payment methods","Aceptar todos los medios de pago"
"There are no payment methods available, please contact the seller.", "No hay métodos de pago disponibles, póngase en contacto con el vendedor."
"Generate the ticket and pay it wherever you want.","Genere el ticket de pago y pague."
"Will be approved within 2 business days.","Será aprobado en hasta 2 días hábiles."
"Ticket - MercadoPago","Ticket - MercadoPago"
"PAYMENT INFORMATION","INFORMACIÓN DE PAGO"
"Payment Number (Mercado Pago): %1","Número de Pago (Mercado Pago): %1"
"FIRST PAYMENT METHOD", "PRIMERA FORMA DE PAGO"
"Card number:","Número de la tarjeta:"
"Expiration date:","Fecha de vencimiento:"
"Card holder:","Titular de la tarjeta:"
"Payment method:","Medio de pago:"
"Installments:","Cuotas:"
"Identification in the invoice:","Identificación en el resumen:"
"Payment status:","Estado del pago:"
"Detailed payment status:","Estado detallado del pago:"
"SECOND PAYMENT METHOD","SEGUNDA FORMA DE PAGO"
"Your order is <b>%1</b>!","Recibimos tu pedido <b>%1</b>!"
"Thank you for your purchase!","Gracias por su compra!"
"We are processing your payment","Estamos procesando tu pago"
"Continue Shopping","Seguir comprando"
"Create an Account","Crear una cuenta"
"First card details:","Datos de la primera tarjeta:"
"Enter the amount to be paid with the first method *", "Ingresá el monto a pagar con el primer medio *"
"Value not allowed!","Valor no permitido!"
"Remaining value ","Valor restante "
"Credit card","Tarjeta de crédito"
"Second card details:","Datos de la segunda tarjeta:"
"Payment processed by Mercado Pago","Pago procesado por Mercado Pago"
"This is a required field.","Este es un campo obligatorio."
"You can track your order status by creating an account.","Puede rastrear el estado de su pedido creando una cuenta."
"cardNumber should be a number.","Número de la tarjeta debería ser un número."
"cardNumber is empty.","Número de la tarjeta está vacío."
"cardNumber should be of length between '8' and '19'.","Número de la tarjeta debe ser de longitud entre '8' y '19'."
"securityCode should be a number.","CVV - Código de seguridad debería ser un número."
"securityCode should be of length '3' or '4'.","CVV - Código de seguridad debe ser de longitud '3' o '4'."
"securityCode is empty.","CVV - Código de seguridad esta vacio."
"expirationMonth should be a number.","Mes de vencimiento debería ser un número."
"expirationMonth is empty.","Mes de vencimiento esta vacio."
"expirationYear should be of length '2' or '4'.","Año de vencimiento debe ser de longitud '2' o '4'."
"expirationYear should be a number.","Año de vencimiento debería ser un número."
"expirationYear is empty.","Año de vencimiento esta vacio."
"expirationMonth should be a value from 1 to 12.","Mes de vencimiento debe ser un valor de 1 a 12."
"expirationYear value should be greater or equal than %1.", "Año de vencimiento no es válido"
"expirationMonth value should be greater than '%1' or expirationYear value should be greater than '%2'.", "Mes de vencimiento o el valor del año de vencimiento no es válido."
"cardNumber should be of length '16'.","Número de la tarjeta debe ser de longitud 16."
"Pay with two cards","Pagar con dos tarjetas"
"Payment with two cards","Pago con dos tarjetas"
"Interest-free","Sin interés"
"Your Bank will apply Interest","Tu Banco aplicará Intereses"
"Complete your order to proceed with payment.","Finaliza tu pedido para proceder con el pago."
"approved","Aprobado"
"accredited","Autorizado"
"rejected","Rechazado"
"pending","Pendiente"
"partially_refunded","Reembolso Parcial"
"cc_rejected_call_for_authorize","Solicitud de autorización rechazada"
"in_process","En proceso"
"by_admin","Por Admin"
"cc_rejected_high_risk","Alto riesgo"
"cc_rejected_insufficient_amount","Valor Insuficiente"
"cc_rejected_other_reason","Otro Motivo"
"cc_rejected_bad_filled_security_code","security_code rellenado incorrectamente"
"cc_rejected_bad_filled_other","Rellenado incorrectamente"
"cc_rejected_bad_filled_card_number","card_number rellenado incorrectamente"
"cc_rejected_bad_filled_date","Data rellenado incorrectamente"
"cc_rejected_card_disabled","Tarjeta desactivada"
"cc_rejected_max_attempts","Intentos máximos"
"cc_rejected_invalid_installments","Cuotas llenado incorrectamente"
"cc_rejected_duplicated_payment","Pago duplicado"
"bank_rejected","Rechazado por el banco"
"bank_error","Error del banco"
"rejected_by_bank","Rechazado por el Banco"
"refunded","Reintegrado"
"by_collector","Por Vendedor"
"expired","Expirado",
"by_payer","Por pagador"
"pending_review_manual","Pendiente de revisión manual"
"pending_capture","Captura pendiente"
"reimbursed","Reintegrado"
"pending_waiting_payment","Aguardando pago pendiente"
"pending_waiting_for_remedy","Pendiente en espera de solución"
"unavailable","Indisponible"
"pending_waiting_transfer"."Pendiente aguardando transferencia"
"Credit or Debit Card","Tarjeta de Crédito o Débito"
"Email Address","Correo electrónico"
"We'll email you an order confirmation with details and tracking info.","Enviaremos un correo electrónico con la confirmación del pedido con detalles e información de seguimiento."
"Your order number is: %1.","Recibimos su pedido: %1!"
"Your order # is: <span>%1</span>.","Recibimos su pedido: <span>%1</span>!"
"By continuing, you agree to our ","Al continuar aceptas nuestros "
"Terms and Conditions.","Términos y Condiciones."
