"Finance Cost","Custo do Parcelamento"
"barcode","Código de Barras"
"external_resource_url","Link de Pagamento"
"verification_code","Código de Verificação"
"financial_institution","Instituição"
"payer_document_type","Tipo de Documento"
"mp_status","Status (Mercado Pago)"
"mp_status_detail","Status Detalhado (Mercado Pago)"
"mp_payment_id","Código de Identificação (Mercado Pago)"
"Expiration","Expiration"
"Link","Link"
"Line Code","Código de Barras"
"Payer Document Type","Tipo de Documento"
"Payment Type (Mercado Pago)","Tipo de Pagamento (Mercado Pago)"
"Installments (Mercado Pago)","Parcelamento (Mercado Pago)"
"Pix QR Code","QR Code do Pix"
"Pix Code","Código do Pix"
"Your access credential for store %1 is valid but you don't have production use permission. Request approval before use by <a href=""%2"">click here</a>.","Sua credencial de acesso para a loja %1 é válida, mas você não tem permissão de uso de produção. Solicitar aprovação antes de usar por <a href=""%2"">clique aqui</a>."
"Your payment will be valid until","Pagar até"
"Link for payment","Link para pagamento"
"Pix","Pix"
"The order %1, was refunded directly on Mercado Pago, you need to check stock of sold items.","O pedido %1, foi reembolsado diretamente no Mercado Pago, você precisa verificar o estoque de itens vendidos."
"Order refunded in Mercado Pago, refunded offline in the store.","Pedido reembolsado no Mercado Pago, reembolsado offline criado na loja."
"Order refunded.","Pedido reembolsado."
"mp_payment_id,"Identificação do Pagamento (Mercado Pago)"
"API Integration","API Integração"
"Receive refund notification","Receber notificação de reembolso"
"Enable the creation of a Credit Note when a refund occurs in Mercado Pago.","Habilite a criação Nota de Crédito quando ocorrer um reembolso no Mercado Pago."
"Enable Facebook pixel","Ativar pixel do Facebook"
"Enable Google pixel","Ativar pixel do Google"
"Please check store id %1 credentials, they are invalid so they were deleted.","Por favor, verifique as credenciais da loja ID %1, elas são inválidas portanto vão ser apagadas."
Expiration,Expiração
"Your payment was declined due to an error in the store setup. Please get in touch with the store support and try again later.","Seu pagamento recusado por um erro na configuração da loja. Entre em contato com o suporte da loja e tente novamente mais tarde."
"It was not possible to complete the payment due to a communication error. Please try again later.","Não foi possível completar o pagamento por uma falha de comunicação. Tente novamente mais tarde."
"Your payment was declined because some of your card details are incorrect. Please check the information to complete the purchase.","Seu pagamento foi recusado, pois algum dado do cartão está incorreto. Verifique as informações para finalizar a compra."
"Your payment was declined. We recommend that you use the device and payment method you usually use for online shopping.","Seu pagamento foi recusado. Recomendamos que você utilize o dispositivo e meio de pagamento que costuma usar para compras on-line."
"It was not possible to complete the payment. Please use another method to complete the purchase.","Não foi possível completar o pagamento. Use outro meio para finalizar sua compra."
"It was not possible to complete the payment due to a communication error. Please try again later or use another payment method.","Não foi possível completar o pagamento por uma falha de comunicação. Tente novamente mais tarde ou use outro meio de pagamento."
"Offline Payments Methods","Métodos de Pagamento Offline"
"Exclude Payment Methods","Excluir métodos de pagamento"
"Select the payment methods you do NOT want to accept.","Selecione os métodos de pagamento que você NÃO deseja aceitar."
"Payment Title","Título do Método de Pagamento"
"Accept all payment methods","Aceite todos os métodos de pagamento"
"There are no payment methods available, please contact the seller.", "Não há métodos de pagamento disponíveis, entre em contato com o vendedor."
"Generate the ticket and pay it wherever you want.", "Gere o boleto e pague-o onde quiser."
"Will be approved within 2 business days.","Será aprovado até 2 dias úteis."
"Ticket - MercadoPago","Ticket - MercadoPago"
"Expiration","Expiração"
"PAYMENT INFORMATION","INFORMAÇÃO DE PAGAMENTO"
"Payment Number (Mercado Pago): %1","Número de Pagamento (Mercado Pago): %1"
"FIRST PAYMENT METHOD", "PRIMEIRO MEIO DE PAGAMENTO"
"Card number:","Número do cartão:"
"Expiration date:","Data de vencimento:"
"Card holder:","Titular do cartão:"
"Payment method:","Meio de pagamento:"
"Installments:","Parcelas:"
"Identification in the invoice:","Identificação na Fatura:"
"Payment status:","Status do pagamento:"
"Detailed payment status:","Status detalhado do pagamento:"
"SECOND PAYMENT METHOD","SEGUNDO MEIO DE PAGAMENTO"
"Your order is <b>%1</b>!","Recebemos seu pedido <b>%1</b>!"
"Thank you for your purchase!","Agradecemos pela sua compra!"
"We are processing your payment","Estamos processando seu pagamento"
"Continue Shopping","Continuar comprando"
"Create an Account","Criar uma conta"
"First card details:","Dados do primeiro cartão:"
"Enter the amount to be paid with the first method *", "Insira o valor a pagar com o primeiro meio *"
"Value not allowed!","Valor não permitido!"
"Remaining value ","Valor restante "
"Credit card","Cartão de crédito"
"Second card details:","Dados do segundo cartão:"
"Payment processed by Mercado Pago","Pagamento procesado por Mercado Pago"
"This is a required field.","Este é um campo obrigatório."
"You can track your order status by creating an account.","Você pode acompanhar o status do seu pedido criando uma conta."
"cardNumber should be a number.","Número do cartão deve ser um número."
"cardNumber is empty.","Número do cartão está vazio."
"cardNumber should be of length between '8' and '19'.","Número do cartão deve ter tamanho entre '8' ou '19' dígitos."
"securityCode should be a number.","CVV - Código de segurança deve ser um número."
"securityCode should be of length '3' or '4'.","CVV - Código de segurança deve ter tamanho de '3' ou '4' dígitos."
"securityCode is empty.","CVV - Código de segurança está vazio."
"expirationMonth should be a number.","Mês de expiração deve ser um número."
"expirationMonth is empty.","Mês de expiração is empty."
"expirationYear should be of length '2' or '4'.","Ano de expiração deve ter tamanho de '2' or '4' dígitos."
"expirationYear should be a number.","Ano de expiração deve ser um número."
"expirationYear is empty.","Ano de expiração está vazio."
"expirationMonth should be a value from 1 to 12.","Mês de expiração deve ser um valor entre 1 e 12."
"expirationYear value should be greater or equal than %1.", "Ano de expiração é inválido"
"expirationMonth value should be greater than '%1' or expirationYear value should be greater than '%2'.", "Mês de expiração ou ano de expiração é inválido."
"cardNumber should be of length '16'.","Número do cartão deve ter tamanho de 16 dígitos."
"Pay with two cards","Pagar com dois cartões"
"Payment with two cards","Pagamento com dois cartões"
"Interest-free","Sem juros"
"Your Bank will apply Interest","Seu banco aplicará juros"
"Complete your order to proceed with payment.","Finalize seu pedido para seguir com o pagamento."
"approved","Aprovado"
"accredited","Acreditado"
"rejected","Rejeitado"
"pending","Pendente"
"partially_refunded","Reembolso Parcial"
"cc_rejected_call_for_authorize","Pedido de autorização rejeitado"
"in_process","Em processo"
"by_admin","Pelo Admin"
"cc_rejected_high_risk","Alto risco"
"cc_rejected_insufficient_amount","Valor Insuficiente"
"cc_rejected_other_reason","Outro Motivo"
"cc_rejected_bad_filled_security_code","security_code preenchido incorretamente"
"cc_rejected_bad_filled_other","Preenchido incorretamente"
"cc_rejected_bad_filled_card_number","card_number preenchido incorretamente"
"cc_rejected_bad_filled_date","Data preenchida incorretamente"
"cc_rejected_card_disabled","Cartão Desativado"
"cc_rejected_max_attempts","Tentativas máximas"
"cc_rejected_invalid_installments","Parcela preenchida incorretamente"
"cc_rejected_duplicated_payment","Pagamento Duplicado"
"bank_rejected","Banco rejeitado"
"bank_error","Erro do Banco"
"rejected_by_bank","Rejeitado pelo Banco"
"refunded","Reembolsado"
"by_collector","Pelo Vendedor"
"expired","Expirado",
"by_payer","Pelo pagador"
"pending_review_manual","Pendente de revisão manual"
"pending_capture","Pendente de captura"
"reimbursed","Reembolsado"
"pending_waiting_payment","Aguardando pagamento pendente"
"pending_waiting_for_remedy","Pendente aguardando solução"
"unavailable","Indisponível"
"pending_waiting_transfer"."Peendente aguardando transferencia"
"Credit or Debit Card","Cartão de Crédito ou Débito"
"Email Address","Endereço de email"
"We'll email you an order confirmation with details and tracking info.","Enviaremos um e-mail com a confirmação do pedido com detalhes e informações de rastreamento."
"Your order number is: %1.","Recebemos seu pedido: %1!"
"Your order # is: <span>%1</span>.","Recebemos seu pedido: <span>%1</span>!"
"By continuing, you agree to our ","Ao continuar você aceita nossos "
"Terms and Conditions.","Termos e Condições."
